section,source_id,source_title,organization,format,year,main_use_in_kb,access_type,url
A. International guidelines / downloadable guidance sources,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,"Core postnatal care, maternal recovery, newborn care, breastfeeding, follow-up",Official page/PDF,https://www.who.int/publications/i/item/9789240045989
A. International guidelines / downloadable guidance sources,SRC002,Guide for integration of perinatal mental health in maternal and child health services,WHO,Guidance PDF,2022,"Emotional wellbeing, perinatal mental health, escalation boundaries",Official page/PDF,https://www.who.int/publications/i/item/9789240057142
A. International guidelines / downloadable guidance sources,SRC003,WHO recommendations on maternal health,WHO,Guidance PDF,2025,"Secondary WHO reference for postpartum-relevant clinical guidance, including postnatal care, breastfeeding, complications, and safety-escalation content. Use selectively for relevant sections.",Official page/PDF,https://www.who.int/publications/i/item/9789240080591
A. International guidelines / downloadable guidance sources,SRC004,Postnatal care,NICE,Guideline PDF,2021,"Core postnatal care guideline for the first 8 weeks after birth, including maternal assessment, postpartum bleeding, perineal health, emotional wellbeing, baby care, feeding, breastfeeding, and red-flag symptoms.",Official page/PDF,https://www.nice.org.uk/guidance/ng194
A. International guidelines / downloadable guidance sources,SRC005,Antenatal and postnatal mental health: clinical management and service guidance,NICE,Clinical guideline PDF,2020,"Perinatal mental health reference for recognizing, assessing, referral, care planning, and escalation for postnatal depression, anxiety, severe mental illness, postpartum psychosis, and mother–baby relationship concerns.",Official page/PDF,https://www.nice.org.uk/guidance/cg192
A. International guidelines / downloadable guidance sources,SRC006,Optimizing Postpartum Care,ACOG,Committee Opinion PDF,2018,"Core postpartum care framework for the “fourth trimester,” including ongoing postpartum follow-up, care planning, physical recovery, emotional wellbeing, infant feeding, sleep/fatigue, contraception, chronic disease follow-up, and transition to well-woman care.",Official page/PDF,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2018/05/optimizing-postpartum-care
A. International guidelines / downloadable guidance sources,SRC007,Breastfeeding Challenges,ACOG,Committee Opinion PDF,2021,"Breastfeeding support reference for common lactation challenges, including engorgement, nipple/breast pain, latch problems, low milk supply, mastitis, medication use during lactation, substance-use considerations, and when to seek further evaluation.",Official page/PDF,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2021/02/breastfeeding-challenges
A. International guidelines / downloadable guidance sources,SRC008,Barriers to Breastfeeding: Supporting Initiation and Continuation of Breastfeeding,ACOG,Committee Opinion PDF,2021,"Breastfeeding equity and support reference for barriers to breastfeeding initiation and continuation, including hospital practices, lactation support, workplace/parental leave policies, social support, trauma-informed care, complex medical issues, substance-use considerations, and support for diverse parent groups.",Official page/PDF,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2021/02/barriers-to-breastfeeding-supporting-initiation-and-continuation-of-breastfeeding
B. Qatar/local sources,SRC009,Mother and Postpartum Self-Care Basics,HMC,Patient education PDF,2018,"Local postpartum self-care, bleeding, perineal care, pain, recovery",Official PDF,https://www.hamad.qa/EN/your%20health/Patient%20and%20Family%20Education%20Unit/Publications/Diseases-and-Care/Maternal-and-Child/Maternal%20and%20Child/Mother%20and%20Postpartum%20Self%20Care%20Basics%20-%20English.pdf
B. Qatar/local sources,SRC010,Your Guide to Successful Breastfeeding,HMC,Patient education PDF,Not stated,"Local breastfeeding education, benefits, feeding technique, support",Official PDF,https://www.hamad.qa/EN/your%20health/Patient%20and%20Family%20Education%20Unit/Publications/Diseases-and-Care/Maternal-and-Child/Maternal%20and%20Child/Guide%20to%20successful%20Breastfeeding%20-%20English.pdf
B. Qatar/local sources,SRC011,Community Midwifery Postnatal Care Service,HMC,Patient education PDF,Not stated,"Qatar postnatal home care, maternal/newborn checks, breastfeeding support",Official PDF,https://www.hamad.qa/EN/your%20health/Maternal-and-Child-Health/Educational-Materials/Documents/Community-Midwifery-Postnatal-Care-Service-EN.pdf
B. Qatar/local sources,SRC012,Guide to Maternity Services in Qatar,HMC,Service guide PDF,Not stated,"Qatar maternity pathway, HMC, PHCC, Sidra, postnatal services",Official PDF,https://www.hamad.qa/EN/your%20health/Maternal-and-Child-Health/Documents/Guide-to-Maternity-Services-ENG.pdf
B. Qatar/local sources,SRC013,"Qatar Dietary Guidelines for Mother and Child, 0–5 Years",MoPH,Nutrition guidance webpage,2025,"Maternal nutrition, breastfeeding, mother-child dietary guidance",Official MOPH page,https://www.moph.gov.qa/english/departments/healthaffairs/healthpromotion/Pages/NewsDetails.aspx?ItemId=1035
C. International and Local webpage sources for extraction/chunking,SRC014,Your Post Delivery Stay,HMC,Local service webpage,Not stated,"Local discharge expectations, C-section/vaginal delivery stay, postnatal classes",Official page,https://hamad.qa/EN/your%20health/Maternal-and-Child-Health/Healthy-Pregnancy/Pages/Your-Post-Delivery-Stay.aspx
C. International and Local webpage sources for extraction/chunking,SRC015,Patient Screening / Perinatal Mental Health,ACOG,Clinical resource webpage,Not stated,General postpartum depression and anxiety screening context,Official page,https://www.acog.org/programs/perinatal-mental-health/patient-screening
C. International and Local webpage sources for extraction/chunking,SRC016,Your pelvic floor,RCOG,Patient information webpage,Not stated,"Pelvic floor recovery, bladder control, physiotherapy referral prompts",Official page,https://www.rcog.org.uk/for-the-public/perineal-tears-and-episiotomies-in-childbirth/your-pelvic-floor/
C. International and Local webpage sources for extraction/chunking,SRC017,Pregnant and Postpartum Women,CDC,Public health webpage,2024,"Warning-sign awareness, speaking to providers, postpartum safety",Official page,https://www.cdc.gov/hearher/pregnant-postpartum/index.html
C. International and Local webpage sources for extraction/chunking,SRC018,Episiotomy,RCOG,Patient information webpage,Not stated,"Patient-facing reference for episiotomy, perineal stitches, wound care, expected healing, infection prevention, and when to contact a healthcare professional.",Official page,https://www.rcog.org.uk/for-the-public/perineal-tears-and-episiotomies-in-childbirth/episiotomy/
C. International and Local webpage sources for extraction/chunking,SRC019,Your body after the birth,NHS,Patient education webpage,2024,"Physical recovery, stitches, bleeding, bladder symptoms, recovery advice",Official page,https://www.nhs.uk/pregnancy/labour-and-birth/your-body/
C. International and Local webpage sources for extraction/chunking,SRC020,Your breastfeeding questions answered,NHS,Patient education webpage,2023,"Breastfeeding frequency, duration, support, common questions",Official page,https://www.nhs.uk/baby/breastfeeding-and-bottle-feeding/breastfeeding/your-questions-answered/
C. International and Local webpage sources for extraction/chunking,SRC021,Postpartum care: What to expect after a vaginal birth,Mayo Clinic,Patient education webpage,2023,"Vaginal birth recovery, soreness, discharge, breast symptoms, mood changes",Official page,https://www.mayoclinic.org/healthy-lifestyle/labor-and-delivery/in-depth/postpartum-care/art-20047233
C. International and Local webpage sources for extraction/chunking,SRC022,Postpartum complications: What you need to know,Mayo Clinic,Patient education webpage,2024,"Red flags, postpartum complications, when to seek care",Official page,https://www.mayoclinic.org/healthy-lifestyle/labor-and-delivery/in-depth/postpartum-complications/art-20446702
